test_id,trial_curr,trial_total,rep,reps,steps,steps_max,pbp,pres_mode,perception_count,retrieval_count,sol,solved,timestamp,activity->feature->hyp_base,activity->obj->hyp_base,activity->selector->hyp_base
_72925f6df15a9999,1,240,12,25,1004,2500,pbp02,interleaved-sim-sim,731,5122,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:55:48.564Z,,,0.1
_72925f6df15a9999,1,240,19,25,2110,2500,pbp02,interleaved-sim-sim,975,36027,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:55:48.571Z,,,0.1
_72925f6df15a9999,1,240,10,25,724,2500,pbp02,interleaved-sim-sim,687,2995,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:55:48.573Z,,,0.1
_72925f6df15a9999,1,240,16,25,315,2500,pbp02,interleaved-sim-sim,289,525,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:55:48.574Z,,,0.1
_72925f6df15a9999,1,240,20,25,1556,2500,pbp02,interleaved-sim-sim,910,11366,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:55:48.575Z,,,0.1
_72925f6df15a9999,1,240,7,25,1210,2500,pbp02,interleaved-sim-sim,781,8083,"Only in the left scenes, all: (can-move-up objects that are 1)",true,2022-04-20T01:55:48.576Z,,,0.1
_72925f6df15a9999,1,240,1,25,830,2500,pbp02,interleaved-sim-sim,691,6395,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:55:48.577Z,,,0.1
_72925f6df15a9999,1,240,14,25,1660,2500,pbp02,interleaved-sim-sim,929,15359,"Only in the left scenes, all: (can-move-up objects that are 1)",true,2022-04-20T01:55:48.582Z,,,0.1
_72925f6df15a9999,1,240,13,25,1148,2500,pbp02,interleaved-sim-sim,827,11276,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:55:48.588Z,,,0.1
_72925f6df15a9999,1,240,11,25,614,2500,pbp02,interleaved-sim-sim,551,1640,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:55:48.589Z,,,0.1
_72925f6df15a9999,1,240,3,25,619,2500,pbp02,interleaved-sim-sim,562,3321,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:55:48.590Z,,,0.1
_72925f6df15a9999,1,240,9,25,375,2500,pbp02,interleaved-sim-sim,370,877,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:55:48.591Z,,,0.1
_72925f6df15a9999,1,240,8,25,191,2500,pbp02,interleaved-sim-sim,202,249,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:55:48.592Z,,,0.1
_72925f6df15a9999,1,240,21,25,266,2500,pbp02,interleaved-sim-sim,302,805,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:55:48.596Z,,,0.1
_72925f6df15a9999,1,240,15,25,735,2500,pbp02,interleaved-sim-sim,688,6257,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:55:48.597Z,,,0.1
_72925f6df15a9999,1,240,17,25,807,2500,pbp02,interleaved-sim-sim,651,3947,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:55:48.598Z,,,0.1
_72925f6df15a9999,1,240,2,25,1176,2500,pbp02,interleaved-sim-sim,840,10383,"Only in the left scenes, all: (top-most at the end objects that are 1)",true,2022-04-20T01:55:48.598Z,,,0.1
_72925f6df15a9999,1,240,5,25,997,2500,pbp02,interleaved-sim-sim,707,4499,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:55:48.599Z,,,0.1
_72925f6df15a9999,1,240,24,25,828,2500,pbp02,interleaved-sim-sim,688,3846,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:55:48.606Z,,,0.1
_72925f6df15a9999,1,240,22,25,504,2500,pbp02,interleaved-sim-sim,495,2338,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:55:48.609Z,,,0.1
_72925f6df15a9999,2,240,23,25,198,2500,pbp02,interleaved-sim-sim,200,182,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:56:11.661Z,,,10
_72925f6df15a9999,2,240,25,25,156,2500,pbp02,interleaved-sim-sim,142,89,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:56:11.661Z,,,10
_72925f6df15a9999,2,240,24,25,152,2500,pbp02,interleaved-sim-sim,162,302,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:56:11.662Z,,,10
_72925f6df15a9999,2,240,20,25,181,2500,pbp02,interleaved-sim-sim,229,313,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:56:11.663Z,,,10
_72925f6df15a9999,2,240,22,25,240,2500,pbp02,interleaved-sim-sim,209,343,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:56:11.663Z,,,10
_72925f6df15a9999,2,240,1,25,208,2500,pbp02,interleaved-sim-sim,244,422,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:56:11.667Z,,,10
_72925f6df15a9999,2,240,21,25,93,2500,pbp02,interleaved-sim-sim,86,54,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:56:11.670Z,,,10
_72925f6df15a9999,2,240,18,25,159,2500,pbp02,interleaved-sim-sim,144,120,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:56:11.671Z,,,10
_72925f6df15a9999,2,240,2,25,38,2500,pbp02,interleaved-sim-sim,36,21,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:56:11.672Z,,,10
_72925f6df15a9999,2,240,19,25,34,2500,pbp02,interleaved-sim-sim,36,25,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:56:11.673Z,,,10
_72925f6df15a9999,2,240,3,25,169,2500,pbp02,interleaved-sim-sim,149,76,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:56:11.673Z,,,10
_72925f6df15a9999,2,240,16,25,224,2500,pbp02,interleaved-sim-sim,236,278,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:56:11.674Z,,,10
_72925f6df15a9999,2,240,15,25,152,2500,pbp02,interleaved-sim-sim,184,132,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:56:11.678Z,,,10
_72925f6df15a9999,2,240,14,25,64,2500,pbp02,interleaved-sim-sim,61,32,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:56:11.686Z,,,10
_72925f6df15a9999,2,240,13,25,324,2500,pbp02,interleaved-sim-sim,335,508,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:56:11.687Z,,,10
_72925f6df15a9999,2,240,11,25,90,2500,pbp02,interleaved-sim-sim,85,38,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:56:11.688Z,,,10
_72925f6df15a9999,2,240,12,25,87,2500,pbp02,interleaved-sim-sim,93,41,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:56:11.689Z,,,10
_72925f6df15a9999,2,240,10,25,340,2500,pbp02,interleaved-sim-sim,308,1193,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:56:11.690Z,,,10
_72925f6df15a9999,2,240,9,25,420,2500,pbp02,interleaved-sim-sim,423,665,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:56:11.694Z,,,10
_72925f6df15a9999,2,240,6,25,86,2500,pbp02,interleaved-sim-sim,104,46,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:56:11.696Z,,,10
_72925f6df15a9999,2,240,5,25,109,2500,pbp02,interleaved-sim-sim,129,110,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:56:11.697Z,,,10
_72925f6df15a9999,2,240,7,25,157,2500,pbp02,interleaved-sim-sim,156,268,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:56:11.698Z,,,10
_72925f6df15a9999,2,240,8,25,344,2500,pbp02,interleaved-sim-sim,341,1020,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:56:11.701Z,,,10
_72925f6df15a9999,2,240,4,25,227,2500,pbp02,interleaved-sim-sim,217,801,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:56:11.702Z,,,10
_72925f6df15a9999,2,240,17,25,201,2500,pbp02,interleaved-sim-sim,191,638,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:56:11.706Z,,,10
_73b8b560d2b4414e,3,240,13,25,124,2500,pbp02,interleaved-sim-dis,128,117,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:57:46.613Z,,,0.1
_73b8b560d2b4414e,3,240,12,25,1715,2500,pbp02,interleaved-sim-dis,924,29948,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:57:46.615Z,,,0.1
_73b8b560d2b4414e,3,240,3,25,1100,2500,pbp02,interleaved-sim-dis,755,9080,"Only in the left scenes, exists: (single objects that are 1)",true,2022-04-20T01:57:46.616Z,,,0.1
_73b8b560d2b4414e,3,240,11,25,193,2500,pbp02,interleaved-sim-dis,220,316,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:57:46.618Z,,,0.1
_73b8b560d2b4414e,3,240,7,25,293,2500,pbp02,interleaved-sim-dis,298,252,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:57:46.618Z,,,0.1
_73b8b560d2b4414e,3,240,9,25,548,2500,pbp02,interleaved-sim-dis,529,1414,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:57:46.619Z,,,0.1
_73b8b560d2b4414e,3,240,22,25,719,2500,pbp02,interleaved-sim-dis,668,3276,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:57:46.627Z,,,0.1
_73b8b560d2b4414e,3,240,20,25,1006,2500,pbp02,interleaved-sim-dis,752,7218,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:57:46.629Z,,,0.1
_73b8b560d2b4414e,3,240,5,25,864,2500,pbp02,interleaved-sim-dis,678,3946,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:57:46.630Z,,,0.1
_73b8b560d2b4414e,3,240,17,25,550,2500,pbp02,interleaved-sim-dis,577,2632,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:57:46.632Z,,,0.1
_73b8b560d2b4414e,3,240,1,25,1112,2500,pbp02,interleaved-sim-dis,806,9165,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:57:46.633Z,,,0.1
_73b8b560d2b4414e,3,240,2,25,1254,2500,pbp02,interleaved-sim-dis,835,8847,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:57:46.635Z,,,0.1
_73b8b560d2b4414e,3,240,10,25,1495,2500,pbp02,interleaved-sim-dis,873,17031,"Only in the left scenes, all: (can-move-up objects that are 1)",true,2022-04-20T01:57:46.653Z,,,0.1
_73b8b560d2b4414e,3,240,25,25,930,2500,pbp02,interleaved-sim-dis,728,4745,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:57:46.667Z,,,0.1
_73b8b560d2b4414e,3,240,8,25,1029,2500,pbp02,interleaved-sim-dis,783,5578,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:57:46.674Z,,,0.1
_73b8b560d2b4414e,3,240,21,25,303,2500,pbp02,interleaved-sim-dis,352,565,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:57:46.677Z,,,0.1
_73b8b560d2b4414e,3,240,24,25,65,2500,pbp02,interleaved-sim-dis,78,25,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:57:46.679Z,,,0.1
_73b8b560d2b4414e,3,240,18,25,919,2500,pbp02,interleaved-sim-dis,699,4150,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:57:46.680Z,,,0.1
_73b8b560d2b4414e,3,240,4,25,200,2500,pbp02,interleaved-sim-dis,237,376,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:57:46.691Z,,,0.1
_73b8b560d2b4414e,3,240,19,25,429,2500,pbp02,interleaved-sim-dis,396,1537,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:57:46.692Z,,,0.1
_73b8b560d2b4414e,3,240,15,25,1404,2500,pbp02,interleaved-sim-dis,853,12573,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:57:46.697Z,,,0.1
_73b8b560d2b4414e,3,240,23,25,608,2500,pbp02,interleaved-sim-dis,602,4552,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:57:46.698Z,,,0.1
_73b8b560d2b4414e,3,240,16,25,2009,2500,pbp02,interleaved-sim-dis,999,32320,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:57:46.707Z,,,0.1
_73b8b560d2b4414e,3,240,14,25,1172,2500,pbp02,interleaved-sim-dis,800,13562,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:57:46.708Z,,,0.1
_73b8b560d2b4414e,3,240,6,25,1305,2500,pbp02,interleaved-sim-dis,827,12087,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:57:46.709Z,,,0.1
_72925f6df15a9999,3,240,24,25,523,2500,pbp02,interleaved-sim-dis,542,2188,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:58:07.215Z,,,0.1
_72925f6df15a9999,3,240,8,25,311,2500,pbp02,interleaved-sim-dis,379,552,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:58:07.216Z,,,0.1
_72925f6df15a9999,3,240,20,25,1061,2500,pbp02,interleaved-sim-dis,743,8359,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:58:07.217Z,,,0.1
_72925f6df15a9999,3,240,22,25,1607,2500,pbp02,interleaved-sim-dis,874,15600,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:58:07.218Z,,,0.1
_72925f6df15a9999,3,240,6,25,980,2500,pbp02,interleaved-sim-dis,775,4051,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:58:07.219Z,,,0.1
_72925f6df15a9999,3,240,16,25,725,2500,pbp02,interleaved-sim-dis,611,1904,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:58:07.222Z,,,0.1
_72925f6df15a9999,3,240,4,25,824,2500,pbp02,interleaved-sim-dis,726,3273,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:58:07.225Z,,,0.1
_72925f6df15a9999,3,240,7,25,1033,2500,pbp02,interleaved-sim-dis,713,4593,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:58:07.230Z,,,0.1
_72925f6df15a9999,3,240,2,25,197,2500,pbp02,interleaved-sim-dis,266,252,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:58:07.231Z,,,0.1
_72925f6df15a9999,3,240,18,25,1076,2500,pbp02,interleaved-sim-dis,780,7530,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:58:07.232Z,,,0.1
_72925f6df15a9999,3,240,25,25,1007,2500,pbp02,interleaved-sim-dis,774,6319,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:58:07.234Z,,,0.1
