test_id,trial_curr,trial_total,rep,reps,steps,steps_max,pbp,pres_mode,perception_count,retrieval_count,sol,solved,timestamp
_28285661f1e40490,3,60,17,100,234,2500,pbp02,fullblocked-dis-sim,277,321,"Only in the left scenes, all: (top-most objects that are 1)",1,1449519996364
_28285661f1e40490,3,60,19,100,170,2500,pbp02,fullblocked-dis-sim,173,154,"Only in the left scenes, exists: ( objects that are 1)",1,1449519996379
_28285661f1e40490,3,60,20,100,295,2500,pbp02,fullblocked-dis-sim,331,482,"Only in the right scenes, exists: ( objects that are 2)",1,1449519996380
_28285661f1e40490,3,60,21,100,322,2500,pbp02,fullblocked-dis-sim,381,1139,"Only in the right scenes, exists: ( objects that are 2)",1,1449519996383
_28285661f1e40490,3,60,22,100,84,2500,pbp02,fullblocked-dis-sim,86,97,"Only in the right scenes, exists: ( objects that are 2)",1,1449519996386
_28285661f1e40490,3,60,23,100,95,2500,pbp02,fullblocked-dis-sim,78,48,"Only in the left scenes, exists: ( objects that are 1)",1,1449519996391
_28285661f1e40490,3,60,24,100,601,2500,pbp02,fullblocked-dis-sim,576,2716,"Only in the left scenes, exists: ( objects that are 1)",1,1449519996393
_28285661f1e40490,3,60,25,100,153,2500,pbp02,fullblocked-dis-sim,186,253,"Only in the left scenes, exists: ( objects that are 1)",1,1449519996394
_28285661f1e40490,4,60,1,100,46,2500,pbp02,fullblocked-dis-dis,35,23,"Only in the right scenes, exists: ( objects that are 2)",1,1449520062429
_28285661f1e40490,4,60,2,100,300,2500,pbp02,fullblocked-dis-dis,388,1000,"Only in the left scenes, exists: ( objects that are 1)",1,1449520062430
_28285661f1e40490,4,60,3,100,312,2500,pbp02,fullblocked-dis-dis,375,671,"Only in the right scenes, exists: ( objects that are 2)",1,1449520062431
_28285661f1e40490,4,60,4,100,233,2500,pbp02,fullblocked-dis-dis,252,491,"Only in the left scenes, exists: ( objects that are 1)",1,1449520062432
_28285661f1e40490,4,60,5,100,165,2500,pbp02,fullblocked-dis-dis,148,157,"Only in the right scenes, exists: ( objects that are 2)",1,1449520062433
_28285661f1e40490,4,60,6,100,112,2500,pbp02,fullblocked-dis-dis,127,151,"Only in the right scenes, exists: ( objects that are 2)",1,1449520062434
_28285661f1e40490,4,60,7,100,417,2500,pbp02,fullblocked-dis-dis,420,564,"Only in the right scenes, exists: ( objects that are 2)",1,1449520062437
_28285661f1e40490,4,60,8,100,125,2500,pbp02,fullblocked-dis-dis,155,95,"Only in the right scenes, exists: ( objects that are 2)",1,1449520062438
_28285661f1e40490,4,60,9,100,304,2500,pbp02,fullblocked-dis-dis,370,469,"Only in the left scenes, exists: ( objects that are 1)",1,1449520062440
_28285661f1e40490,4,60,10,100,357,2500,pbp02,fullblocked-dis-dis,400,409,"Only in the right scenes, exists: ( objects that are 2)",1,1449520062441
_28285661f1e40490,4,60,11,100,149,2500,pbp02,fullblocked-dis-dis,156,309,"Only in the left scenes, exists: ( objects that are 1)",1,1449520062443
_28285661f1e40490,4,60,12,100,227,2500,pbp02,fullblocked-dis-dis,240,135,"Only in the left scenes, exists: ( objects that are 1)",1,1449520062444
_28285661f1e40490,4,60,13,100,178,2500,pbp02,fullblocked-dis-dis,209,228,"Only in the right scenes, exists: ( objects that are 2)",1,1449520062454
_28285661f1e40490,4,60,14,100,160,2500,pbp02,fullblocked-dis-dis,187,260,"Only in the left scenes, all: (can-move-up objects that are 1)",1,1449520062455
_28285661f1e40490,4,60,15,100,115,2500,pbp02,fullblocked-dis-dis,148,166,"Only in the left scenes, exists: ( objects that are 1)",1,1449520062456
_28285661f1e40490,4,60,16,100,156,2500,pbp02,fullblocked-dis-dis,189,82,"Only in the right scenes, exists: ( objects that are 2)",1,1449520062457
_28285661f1e40490,4,60,17,100,259,2500,pbp02,fullblocked-dis-dis,370,409,"Only in the right scenes, exists: ( objects that are 2)",1,1449520062458
_28285661f1e40490,4,60,18,100,283,2500,pbp02,fullblocked-dis-dis,330,571,"Only in the left scenes, exists: ( objects that are 1)",1,1449520062459
_28285661f1e40490,4,60,19,100,85,2500,pbp02,fullblocked-dis-dis,87,87,"Only in the left scenes, exists: ( objects that are 1)",1,1449520062502
_28285661f1e40490,4,60,20,100,150,2500,pbp02,fullblocked-dis-dis,184,165,"Only in the right scenes, exists: ( objects that are 2)",1,1449520062503
_28285661f1e40490,4,60,21,100,83,2500,pbp02,fullblocked-dis-dis,95,38,"Only in the right scenes, exists: ( objects that are 2)",1,1449520062504
_28285661f1e40490,4,60,22,100,218,2500,pbp02,fullblocked-dis-dis,233,354,"Only in the left scenes, exists: ( objects that are 1)",1,1449520062505
_28285661f1e40490,4,60,23,100,103,2500,pbp02,fullblocked-dis-dis,119,60,"Only in the left scenes, exists: ( objects that are 1)",1,1449520062505
_28285661f1e40490,4,60,24,100,177,2500,pbp02,fullblocked-dis-dis,184,143,"Only in the left scenes, exists: ( objects that are 1)",1,1449520062506
_28285661f1e40490,4,60,25,100,109,2500,pbp02,fullblocked-dis-dis,131,61,"Only in the right scenes, exists: ( objects that are 2)",1,1449520062508
_28285661f1e40490,5,60,1,100,134,2500,pbp04,fullblocked-sim-sim,292,273,"Only in the right scenes, exists: (circle objects)",1,1449520096443
_28285661f1e40490,5,60,2,100,203,2500,pbp04,fullblocked-sim-sim,348,316,"Only in the left scenes, exists: (square objects)",1,1449520096444
_28285661f1e40490,5,60,3,100,101,2500,pbp04,fullblocked-sim-sim,118,195,"Only in the right scenes, exists: (circle objects)",1,1449520096445
_28285661f1e40490,5,60,4,100,183,2500,pbp04,fullblocked-sim-sim,307,448,"Only in the right scenes, exists: (circle objects)",1,1449520096446
_28285661f1e40490,5,60,5,100,87,2500,pbp04,fullblocked-sim-sim,141,60,"Only in the left scenes, exists: (square objects)",1,1449520096447
_28285661f1e40490,5,60,6,100,143,2500,pbp04,fullblocked-sim-sim,210,207,"Only in the left scenes, exists: (square objects)",1,1449520096447
_28285661f1e40490,5,60,7,100,92,2500,pbp04,fullblocked-sim-sim,208,96,"Only in the right scenes, exists: (circle objects)",1,1449520096451
_28285661f1e40490,5,60,8,100,86,2500,pbp04,fullblocked-sim-sim,134,90,"Only in the left scenes, exists: (square objects)",1,1449520096452
_28285661f1e40490,5,60,9,100,33,2500,pbp04,fullblocked-sim-sim,48,34,"Only in the left scenes, exists: (square objects)",1,1449520096453
_28285661f1e40490,5,60,10,100,39,2500,pbp04,fullblocked-sim-sim,73,44,"Only in the left scenes, exists: (square objects)",1,1449520096454
_28285661f1e40490,5,60,11,100,103,2500,pbp04,fullblocked-sim-sim,123,77,"Only in the right scenes, exists: (circle objects)",1,1449520096455
_28285661f1e40490,5,60,12,100,119,2500,pbp04,fullblocked-sim-sim,178,90,"Only in the right scenes, exists: (circle objects)",1,1449520096456
_28285661f1e40490,5,60,13,100,120,2500,pbp04,fullblocked-sim-sim,207,113,"Only in the right scenes, exists: (circle objects)",1,1449520096459
_28285661f1e40490,5,60,14,100,31,2500,pbp04,fullblocked-sim-sim,46,38,"Only in the left scenes, exists: (square objects)",1,1449520096459
_28285661f1e40490,5,60,15,100,61,2500,pbp04,fullblocked-sim-sim,104,86,"Only in the left scenes, exists: (square objects)",1,1449520096460
_28285661f1e40490,5,60,16,100,49,2500,pbp04,fullblocked-sim-sim,115,71,"Only in the left scenes, exists: (square objects)",1,1449520096461
_28285661f1e40490,5,60,17,100,53,2500,pbp04,fullblocked-sim-sim,91,56,"Only in the left scenes, exists: (square objects)",1,1449520096462
_28285661f1e40490,5,60,18,100,79,2500,pbp04,fullblocked-sim-sim,114,91,"Only in the left scenes, exists: (square objects)",1,1449520096463
_28285661f1e40490,5,60,19,100,33,2500,pbp04,fullblocked-sim-sim,59,36,"Only in the left scenes, exists: (square objects)",1,1449520096465
